20160201 000000;1.084810;1.084940;1.084810;1.084940;0
20160201 000100;1.084920;1.084920;1.084710;1.084710;0
20160201 000200;1.084710;1.084760;1.084600;1.084740;0
20160201 000300;1.084740;1.084740;1.084680;1.084720;0
20160201 000400;1.084710;1.084720;1.084700;1.084710;0
20160201 000500;1.084730;1.084770;1.084730;1.084760;0
20160201 000600;1.084770;1.084770;1.084690;1.084720;0
20160201 000700;1.084730;1.084770;1.084730;1.084770;0
20160201 000800;1.084780;1.084840;1.084770;1.084810;0
20160201 000900;1.084810;1.084830;1.084760;1.084830;0
20160201 001000;1.084810;1.084830;1.084790;1.084790;0
20160201 001100;1.084790;1.084800;1.084720;1.084730;0
20160201 001200;1.084720;1.084720;1.084540;1.084570;0
20160201 001300;1.084550;1.084610;1.084520;1.084560;0
20160201 001400;1.084570;1.084630;1.084540;1.084550;0
20160201 001500;1.084550;1.084600;1.084550;1.084550;0
20160201 001600;1.084560;1.084560;1.084530;1.084540;0
20160201 001700;1.084540;1.084610;1.084540;1.084570;0
20160201 001800;1.084570;1.084570;1.084540;1.084540;0
20160201 001900;1.084540;1.084590;1.084540;1.084570;0
20160201 002000;1.084560;1.084620;1.084530;1.084620;0
20160201 002100;1.084620;1.084630;1.084550;1.084550;0
20160201 002200;1.084540;1.084550;1.084530;1.084550;0
20160201 002300;1.084540;1.084580;1.084530;1.084570;0
20160201 002400;1.084560;1.084570;1.084540;1.084550;0
20160201 002500;1.084560;1.084570;1.084530;1.084540;0
20160201 002600;1.084540;1.084540;1.084380;1.084390;0
20160201 002700;1.084400;1.084510;1.084330;1.084350;0
20160201 002800;1.084360;1.084590;1.084360;1.084540;0
20160201 002900;1.084530;1.084550;1.084510;1.084530;0
20160201 003000;1.084510;1.084540;1.084430;1.084430;0
20160201 003100;1.084420;1.084420;1.084380;1.084400;0
20160201 003200;1.084390;1.084400;1.084350;1.084400;0
20160201 003300;1.084390;1.084400;1.084280;1.084310;0
20160201 003400;1.084310;1.084340;1.084300;1.084320;0
20160201 003500;1.084320;1.084320;1.084210;1.084220;0
20160201 003600;1.084220;1.084220;1.084130;1.084170;0
20160201 003700;1.084190;1.084270;1.084170;1.084250;0
20160201 003800;1.084270;1.084310;1.084240;1.084280;0
20160201 003900;1.084270;1.084300;1.084250;1.084250;0
20160201 004000;1.084260;1.084340;1.084250;1.084340;0
20160201 004100;1.084320;1.084340;1.084320;1.084340;0
20160201 004200;1.084330;1.084420;1.084330;1.084390;0
20160201 004300;1.084410;1.084520;1.084410;1.084490;0
20160201 004400;1.084490;1.084490;1.084480;1.084490;0
20160201 004500;1.084490;1.084580;1.084480;1.084570;0
20160201 004600;1.084570;1.084600;1.084450;1.084450;0
20160201 004700;1.084450;1.084460;1.084450;1.084460;0
20160201 004800;1.084470;1.084650;1.084470;1.084580;0
20160201 004900;1.084580;1.084600;1.084560;1.084560;0
20160201 005000;1.084570;1.084610;1.084560;1.084590;0
20160201 005100;1.084610;1.084690;1.084600;1.084690;0
20160201 005200;1.084690;1.084690;1.084680;1.084680;0
20160201 005300;1.084670;1.084680;1.084580;1.084630;0
20160201 005400;1.084640;1.084640;1.084570;1.084640;0
20160201 005500;1.084640;1.084640;1.084620;1.084630;0
20160201 005600;1.084630;1.084640;1.084630;1.084640;0
20160201 005700;1.084650;1.084650;1.084600;1.084620;0
20160201 005800;1.084620;1.084740;1.084590;1.084710;0
20160201 005900;1.084730;1.084730;1.084640;1.084660;0
20160201 010000;1.084660;1.084850;1.084660;1.084780;0
20160201 010100;1.084790;1.084840;1.084780;1.084840;0
20160201 010200;1.084840;1.084840;1.084760;1.084760;0
20160201 010300;1.084760;1.084760;1.084740;1.084740;0
20160201 010400;1.084740;1.084770;1.084740;1.084770;0
20160201 010500;1.084740;1.084830;1.084730;1.084830;0
20160201 010600;1.084840;1.084840;1.084760;1.084780;0
20160201 010700;1.084780;1.084800;1.084760;1.084780;0
20160201 010800;1.084790;1.084810;1.084780;1.084780;0
20160201 010900;1.084800;1.084800;1.084780;1.084780;0
20160201 011000;1.084780;1.084840;1.084770;1.084830;0
20160201 011100;1.084830;1.084850;1.084760;1.084760;0
20160201 011200;1.084760;1.084760;1.084720;1.084720;0
20160201 011300;1.084710;1.084760;1.084700;1.084760;0
20160201 011400;1.084750;1.084760;1.084690;1.084690;0
20160201 011500;1.084690;1.084720;1.084630;1.084650;0
20160201 011600;1.084650;1.084650;1.084640;1.084640;0
20160201 011700;1.084640;1.084660;1.084640;1.084650;0
20160201 011800;1.084640;1.084650;1.084540;1.084600;0
20160201 011900;1.084610;1.084660;1.084590;1.084640;0
20160201 012000;1.084640;1.084660;1.084600;1.084620;0
20160201 012100;1.084620;1.084620;1.084550;1.084560;0
20160201 012200;1.084560;1.084560;1.084530;1.084540;0
20160201 012300;1.084540;1.084540;1.084530;1.084540;0
20160201 012400;1.084540;1.084540;1.084380;1.084380;0
20160201 012500;1.084380;1.084400;1.084370;1.084390;0
20160201 012600;1.084390;1.084430;1.084390;1.084400;0
20160201 012700;1.084420;1.084420;1.084390;1.084410;0
20160201 012800;1.084410;1.084750;1.084410;1.084740;0
20160201 012900;1.084750;1.084750;1.084620;1.084700;0
20160201 013000;1.084730;1.084750;1.084720;1.084730;0
20160201 013100;1.084730;1.084800;1.084660;1.084790;0
20160201 013200;1.084790;1.084860;1.084760;1.084770;0
20160201 013300;1.084750;1.084790;1.084750;1.084750;0
20160201 013400;1.084760;1.084790;1.084760;1.084760;0
20160201 013500;1.084760;1.084760;1.084710;1.084710;0
20160201 013600;1.084720;1.084800;1.084720;1.084750;0
20160201 013700;1.084750;1.084770;1.084750;1.084760;0
20160201 013800;1.084740;1.084760;1.084740;1.084760;0
20160201 013900;1.084750;1.084840;1.084750;1.084830;0
20160201 014000;1.084820;1.084990;1.084820;1.084960;0
20160201 014100;1.084950;1.084950;1.084760;1.084790;0
20160201 014200;1.084790;1.084790;1.084770;1.084790;0
20160201 014300;1.084780;1.084790;1.084760;1.084770;0
20160201 014400;1.084760;1.084760;1.084700;1.084710;0
20160201 014500;1.084710;1.084760;1.084690;1.084710;0
20160201 014600;1.084710;1.084720;1.084710;1.084720;0
20160201 014700;1.084720;1.084760;1.084710;1.084760;0
20160201 014800;1.084760;1.084910;1.084760;1.084890;0
20160201 014900;1.084900;1.084950;1.084890;1.084940;0
20160201 015000;1.084940;1.085080;1.084940;1.085060;0
20160201 015100;1.085060;1.085110;1.085060;1.085080;0
20160201 015200;1.085090;1.085100;1.085050;1.085060;0
20160201 015300;1.085060;1.085090;1.085030;1.085060;0
20160201 015400;1.085060;1.085110;1.085060;1.085100;0
20160201 015500;1.085110;1.085200;1.085090;1.085200;0
20160201 015600;1.085210;1.085230;1.085140;1.085140;0
20160201 015700;1.085140;1.085140;1.084970;1.084970;0
20160201 015800;1.084960;1.085040;1.084960;1.085030;0
20160201 015900;1.085030;1.085030;1.084940;1.084940;0
20160201 020000;1.084940;1.084940;1.084570;1.084650;0
20160201 020100;1.084660;1.084830;1.084590;1.084820;0
20160201 020200;1.084840;1.085030;1.084680;1.084680;0
20160201 020300;1.084670;1.084770;1.084660;1.084720;0
20160201 020400;1.084730;1.084850;1.084730;1.084850;0
20160201 020500;1.084850;1.085120;1.084850;1.085120;0
20160201 020600;1.085140;1.085360;1.085120;1.085340;0
20160201 020700;1.085360;1.085460;1.085280;1.085310;0
20160201 020800;1.085300;1.085320;1.085240;1.085290;0
20160201 020900;1.085290;1.085340;1.085180;1.085180;0
20160201 021000;1.085190;1.085410;1.085180;1.085360;0
20160201 021100;1.085360;1.085440;1.085280;1.085400;0
20160201 021200;1.085390;1.085390;1.085060;1.085080;0
20160201 021300;1.085070;1.085140;1.084950;1.085090;0
20160201 021400;1.085100;1.085290;1.085100;1.085290;0
20160201 021500;1.085280;1.085400;1.085280;1.085290;0
20160201 021600;1.085300;1.085360;1.085160;1.085330;0
20160201 021700;1.085320;1.085380;1.085320;1.085350;0
20160201 021800;1.085350;1.085470;1.085290;1.085460;0
20160201 021900;1.085450;1.085640;1.085450;1.085480;0
20160201 022000;1.085470;1.085470;1.085080;1.085210;0
